titulo_original;titulo_padronizado;id_todos_digitos;vaga_sap;cliente;tipo_contratacao;pais;estado;cidade;vaga_especifica_para_pcd;faixa_etaria;nivel_profissional;nivel_academico;nivel_ingles;nivel_espanhol;nivel;atuacao_tokenizadas;atividade_tokenizadas;competencias_tokenizadas
4045 - Consultor Lotus Notes;Consultor Lotus Notes;4045;Não;Miller-Curry;CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;nenhum;;;desenvolvimento programacao;skills tecnicos necessarios conhecimento lotus notes logica programa conhecimento sql conceitos view formulario agentes fortemente recomendado experiencia com operacao ams familiaridade com processos operacao ams ferramentas gestao tickets service habilidade comunicacao experiencia analise funcional nao somente programacao atribuicoes linhas gerais receber chamados analisar solucionar incidentes service requests acordo com sla estabelecido elaborar rcas realizar manutencoes corretivas evolutivas seguindo metodologia processos estabelecidos;skills tecnicos necessarios conhecimento lotus notes logica programa conhecimento sql conceitos view formulario agentes fortemente recomendado experiencia com operacao ams familiaridade com processos operacao ams ferramentas gestao tickets service habilidade comunicacao experiencia analise funcional nao somente programacao atribuicoes linhas gerais receber chamados analisar solucionar incidentes service requests acordo com sla estabelecido elaborar rcas realizar manutencoes corretivas evolutivas seguindo metodologia processos estabelecidos
Assistente Adm Pleno;Assistente Adm;;Não;Werner PLC;CLT Full;Brasil;rio de janeiro;rio de janeiro;;De: Até:;analista;ensino superior completo;nenhum;;PL;administrativa;analista adm pleno;analista adm pleno
961 - Desenvolvedor Full Stack Sênior;Desenvolvedor Full Stack;961;Não;Glover, Warren and Norris;PJ/Autônomo, CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;conhecimento tecnico net framework net core asp net web forms javascript sql server conhecimentos desenvolvimento administracao banco dados iis net azure devops;inicio imediato prazo meses
PMP 5144258 - Gerente de Projetos;Pmp Gerente De Projetos;5144258;Não;Miller-Curry;CLT Full;Brasil;sao paulo;sao paulo;;De: Até:;gerente;ensino superior completo;nenhum;;;projetos;gerente projetos;gerente projetos
PMP 5203666_Dotnet Vb6;Pmp Dotnet Vb;52036666;Não;Miller-Curry;CLT Full;Brasil;sao paulo;hortolandia;;De: Até:;analista;ensino superior completo;nenhum;;;desenvolvimento programacao;dotnet;dotnet
SAP MM Sr - 726;Sap Mm;726;Não;Bell Group;Hunting;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;fluente;basico;SR;sap;area atuacao profissional sap tecnologia sap edi abap responsabilidades atuar suporte ams atuacao demandas melhorias modulos edi analisar interfaces edi levantar processos requisitos para solucao dos problemas garantir sla suporte datas acordadas dos projetos demandas grande responsabilidade envolvendo tarefas que exigem conhecimento sap standard porem com alto grau analitico para programas processos customizados como edi idoc xml edi processos sto transferencia estoque entre plantas analise movimentacao estoque integracao com outros modulos desenvolver com responsabilidade qualidade visando prevenindo futuros possiveis problemas profissional dinamico comprometido com horario trabalho foco entrega requisitos ingles intermediario avancado requisitos minimo anos experiencia atuando como consultor modulo solida experiencia sap rotinas compras transferencia estoque sto subcontratacao master data importacao experiencia implementacoes localizacao brasil taxbra grc inbound nota fiscal servico emissao escrituracao automatica experiencia suporte analise interfaces edi idoc com sistemas legados experiencia atendimento cliente resolucao chamados experiencia com analise dados utilizando excel bancos dados solidos conhecimentos abap para debug elaboracao especificacao funcional tecnica produzir documentacao tecnica funcional necessaria para processos empresa realizar testes unitarios das solucoes alteracoes melhorias desenvolvidas desejavel experiencia analise notas tecnicas sap;atuara junto areas negocios contribuindo com melhorias processos area compras logistica processo producao suporte primeiro segundo nivel para modulo edi analise identificacao solucao problemas realizara especificacao funcional tecnica nos modulos edi idoc para novos desenvolvimentos melhorias processos desenvolvimento pequenas melhorias programas relacionados modulo edi ira dar suporte clientes brasil paises america latina como colombia panama peru tera contato com matriz coreia sul
962 - Consultor SAP RE;Consultor Sap Re;962;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;modelo trabalho home office;conhecimento tecnico conhecimentos das praticas gestao imobiliaria incluindo avaliacao propriedades gestao contratos locacao gestao espaco conhecimento das regulamentacoes normas relevantes para gestao imobiliaria garantindo conformidade legal todas operacoes
960 - SAP Sênior (Desenvolvedor ABAP);Sap Desenvolvedor Abap;960;Não;Glover, Warren and Norris;PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;modelo trabalho remoto idioma;conhecimento tecnico conhecimentos sap ecc apis badis bapis integracoes nota fiscal eletronica aplicacao notas
956 - SAP FI AP Sênior;Sap Fi Ap;956;Não;Glover, Warren and Norris;PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino superior completo;basico;basico;SR;sap;conhecimento tecnico experiencia modulo financeiro seus submodulos experiencia implementacao hana experiencia configuracao submodulos ter experiencia interfaces com sistemas externos conhecimento mbc pagamento atraves arquivo xml contas pagar ecc hana forte atuacao integracoes bancarias localizacao brasil scripting lsmw para automatizar atualizacao dos dados mestre deve ser capaz rastrear incidentes solicitacoes servicos solicitacoes alteracao para garantir que slas sejam atendidos gerenciar reunioes pontes conferencia;local sao paulo porto alegre idioma portugues nao sera necessario ingles
958 - SAP MM Pleno;Sap Mm;958;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;pleno;ensino superior completo;basico;basico;PL;sap;conhecimento tecnico experiencia modulo configuracoes integracoes interfaces localizacao brasil criacao especificacoes funcionais processo standard nota fiscal inbound processo armazenagem experiencia com grc inbound emissao entrada experiencia projetos shana conhecimentos integracao entre modulo com outros modulos sap;local sao paulo porto alegre idioma portugues nao sera necessario ingles
957 -1 SAP BASIS;Sap Basis;9571;Não;Glover, Warren and Norris;CLT Full, PJ/Autônomo;Brasil;sao paulo;sao paulo;;De: Até:;analista;ensino superior completo;basico;basico;;sap;conhecimento tecnico funcional com experencia sap basis executar atividades suporte dominio sap basis implementacao resolucao problemas infraestrutura sap ecc etc participar ativamente divulgacao arquitetura governanca dos ambientes sap propor melhorias inovacoes tecnologicas servidores storage banco dados ecosistema sap positivo garantir qualidade eficiencia resiliencia arquitetura infraestrutura sap atividades manutencao preventiva sistemas sap manutencao patches seguranca nos sistemas operacionais que sustentam sap configuracao manutencao monitoramento dos sistemas sap implantacao baselines seguranca;local sao paulo porto alegre idioma portugues nao sera necessario ingles
SAP Ariba;Sap Ariba;;Não;Jensen, Smith and Brennan;;Brasil;sao paulo;sao paulo;;De: Até:;senior;ensino medio completo;fluente;nenhum;;sap;inicialmente assessment para depois analise ambiente propor melhorias;inicialmente assessment para depois analise ambiente propor melhorias
Logistics Transport Planning (Planejamento Logístico de Transporte);Logistics Transport Planning Planejamento Logistico De Transporte;;Não;Morris, Moran and Dodson;PJ/Autônomo;Brasil;sao paulo;campinas;;De: Até:;analista;ensino superior completo;fluente;basico;;projetos;competencias experiencia logistica atividades roteirizacao dentro brasil;ingles avancado fluente conversacao mandatorio espanhol desejavel desejavel conhecimento sistema sap experiencia comprovada com gestao pessoas lideranca
Freight Payment - Gerente de Operações (Pagamento de Fretes);Freight Payment Gerente De Operacoes Pagamento De Fretes;;Não;Morris, Moran and Dodson;CLT Full;Brasil;sao paulo;campinas;;De: Até:;analista;ensino superior completo;fluente;basico;;projetos;competencias realizar pagamento especifico fretes realizar conciliacao das transportadoras;ingles avancado fluente conversacao espanhol desejavel desejavel conhecimento sistema sap experiencia comprovada com gestao pessoas lideranca
